Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
vardas0 pavarde0 4 7 8 6 4 6 7 3 10 2 3 8 1 10 4 7
vardas101 pavarde101 3 2 1 9 10 1 2 4 5 9 6 9 3 3 1 7
vardas104 pavarde104 10 8 6 5 5 10 7 8 3 2 1 2 4 8 8 7
vardas105 pavarde105 4 10 2 1 5 2 2 9 7 5 4 5 8 8 1 8
vardas11 pavarde11 8 6 10 7 3 2 8 9 6 8 5 2 9 6 10 8
vardas111 pavarde111 3 10 6 8 5 7 5 10 2 3 4 2 9 2 4 9
vardas113 pavarde113 5 8 10 9 6 5 8 9 7 1 1 7 5 4 8 6
vardas115 pavarde115 10 9 2 7 5 9 6 1 2 6 10 8 1 7 3 9
vardas116 pavarde116 10 6 1 3 8 3 9 2 8 8 10 8 10 9 9 10
vardas118 pavarde118 1 1 5 8 6 4 2 5 3 1 2 4 1 1 5 9
vardas119 pavarde119 3 3 1 3 5 6 9 5 1 9 5 3 6 5 3 8
vardas120 pavarde120 6 8 6 3 3 9 7 7 1 1 10 2 3 7 10 5
vardas122 pavarde122 4 10 7 6 8 5 4 10 5 5 1 7 1 3 3 9
vardas123 pavarde123 5 4 2 2 2 10 1 1 1 3 6 8 7 10 2 10
vardas125 pavarde125 7 8 7 10 8 7 1 10 1 8 7 7 9 8 8 7
vardas13 pavarde13 5 9 9 9 10 8 8 7 5 4 1 4 1 10 3 6
vardas130 pavarde130 9 10 10 9 10 4 7 4 7 1 5 5 10 7 7 5
vardas131 pavarde131 2 10 9 1 5 10 1 6 6 1 2 7 1 3 9 9
vardas132 pavarde132 5 10 9 4 5 5 10 2 8 6 8 7 3 5 3 6
vardas133 pavarde133 6 1 6 3 10 8 8 7 9 2 3 1 4 3 9 8
vardas137 pavarde137 5 8 5 8 2 5 1 5 9 4 4 5 7 2 6 6
vardas138 pavarde138 5 7 7 10 7 8 6 7 5 4 1 1 3 6 4 9
vardas139 pavarde139 6 1 6 7 7 8 4 5 1 9 1 9 2 6 4 6
vardas141 pavarde141 3 5 10 1 2 5 5 4 3 6 2 4 3 7 1 7
vardas142 pavarde142 10 7 9 1 9 7 8 6 5 5 7 1 6 6 4 10
vardas143 pavarde143 2 6 1 5 10 7 8 5 4 1 10 7 7 1 5 6
vardas144 pavarde144 9 3 9 7 9 6 4 5 1 2 8 8 9 1 9 10
vardas145 pavarde145 8 9 4 10 8 3 6 1 3 5 9 1 7 3 7 6
vardas146 pavarde146 7 7 4 5 2 8 2 4 1 9 3 10 1 2 1 9
vardas149 pavarde149 5 6 3 6 10 4 9 9 5 4 6 1 6 10 4 5
vardas15 pavarde15 3 9 10 4 7 9 1 3 2 1 6 2 2 1 9 6
vardas151 pavarde151 5 5 9 5 10 9 5 5 2 10 7 9 1 10 4 7
vardas153 pavarde153 10 10 8 10 8 4 6 1 5 2 10 5 2 5 4 7
vardas154 pavarde154 5 3 3 8 7 2 9 6 2 2 4 1 7 5 5 8
vardas155 pavarde155 6 4 9 3 8 4 6 4 8 5 9 1 1 2 7 5
vardas156 pavarde156 6 9 4 2 3 3 10 6 6 5 7 4 2 3 1 7
vardas157 pavarde157 6 2 10 5 5 7 9 2 1 9 2 3 10 9 9 7
vardas158 pavarde158 9 3 1 3 5 10 9 2 6 7 5 7 9 7 4 6
vardas159 pavarde159 8 5 3 5 1 3 8 3 1 2 7 2 10 5 10 10
vardas16 pavarde16 1 7 5 7 3 6 9 7 3 9 5 8 3 5 1 7
vardas160 pavarde160 7 10 5 3 1 3 4 7 9 10 3 9 7 8 4 6
vardas161 pavarde161 4 6 10 6 10 8 10 10 1 6 3 2 1 3 1 7
