Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
vardas1 pavarde1 1 7 3 7 2 9 8 10 3 1 3 4 8 6 10 3
vardas10 pavarde10 10 9 5 9 2 1 4 1 5 5 5 5 8 7 4 2
vardas100 pavarde100 5 10 7 6 5 7 5 3 6 2 7 2 4 8 8 2
vardas102 pavarde102 4 7 2 1 6 8 5 3 1 1 4 4 10 1 5 4
vardas103 pavarde103 4 5 3 5 6 4 9 2 2 4 2 6 9 2 4 4
vardas106 pavarde106 5 6 4 1 8 3 10 10 4 1 3 8 10 10 6 3
vardas107 pavarde107 1 9 4 6 10 7 6 7 4 1 3 1 8 5 8 4
vardas108 pavarde108 1 2 7 8 6 8 9 9 10 1 8 9 1 4 2 1
vardas109 pavarde109 4 7 8 4 3 3 2 6 4 4 9 3 9 6 9 1
vardas110 pavarde110 9 7 10 4 4 8 5 4 8 2 4 10 7 5 3 1
vardas112 pavarde112 10 3 5 6 2 1 1 2 4 4 1 1 1 3 3 3
vardas114 pavarde114 9 2 1 10 4 1 3 7 5 4 9 7 8 1 9 2
vardas117 pavarde117 9 1 6 3 1 3 5 4 8 4 1 1 2 6 9 1
vardas12 pavarde12 6 4 9 9 4 2 9 10 7 5 4 4 4 9 7 1
vardas121 pavarde121 9 3 9 3 8 9 7 8 8 1 10 5 6 5 3 3
vardas124 pavarde124 9 8 7 6 2 2 5 9 6 8 7 7 10 2 5 4
vardas126 pavarde126 7 6 4 8 7 10 8 3 7 5 1 8 6 5 1 2
vardas127 pavarde127 3 9 1 2 6 3 1 8 2 7 5 10 6 4 6 2
vardas128 pavarde128 2 1 1 8 1 9 2 7 5 2 5 10 9 7 3 3
vardas129 pavarde129 6 3 4 3 8 4 10 1 2 6 1 7 10 8 10 3
vardas134 pavarde134 5 7 4 9 1 5 10 8 10 8 6 2 4 8 9 1
vardas135 pavarde135 10 6 3 2 4 3 8 4 4 3 4 9 7 2 7 1
vardas136 pavarde136 10 2 10 2 6 1 10 5 10 7 9 3 5 7 6 4
vardas14 pavarde14 5 1 6 10 5 7 10 3 3 5 8 8 6 5 9 2
vardas140 pavarde140 2 2 5 1 2 2 9 6 8 9 6 2 7 1 10 2
vardas147 pavarde147 2 7 8 9 9 3 2 4 9 10 4 6 5 2 3 3
vardas148 pavarde148 8 8 10 2 5 1 5 8 9 8 7 9 1 9 7 2
vardas150 pavarde150 7 3 6 4 3 1 1 1 10 9 1 10 7 8 3 2
vardas152 pavarde152 4 9 10 6 1 2 8 2 10 9 3 7 8 6 10 4
vardas163 pavarde163 10 10 4 10 9 5 1 9 1 6 10 1 10 2 9 3
vardas166 pavarde166 5 4 8 9 3 9 9 8 7 1 5 10 2 3 3 3
vardas169 pavarde169 6 5 8 1 6 8 7 5 4 6 4 8 4 3 9 4
vardas17 pavarde17 3 10 10 1 9 2 4 2 2 1 4 5 1 4 10 2
vardas170 pavarde170 1 9 7 7 10 8 2 10 4 8 2 3 4 6 8 1
vardas175 pavarde175 7 10 6 2 7 1 3 3 3 3 8 4 7 2 1 1
vardas176 pavarde176 8 3 4 2 1 8 5 9 1 2 9 8 4 5 8 2
vardas178 pavarde178 5 1 6 7 1 1 5 1 4 3 1 9 7 10 10 3
vardas18 pavarde18 10 7 10 4 4 9 1 6 7 7 5 1 1 5 7 3
vardas181 pavarde181 4 10 5 7 3 4 9 7 3 8 1 8 7 8 5 4
vardas182 pavarde182 2 3 5 8 6 6 9 1 8 8 4 8 8 10 4 3
vardas183 pavarde183 1 8 9 3 1 8 2 5 7 2 2 3 9 9 8 2
vardas187 pavarde187 7 8 8 5 10 1 1 3 8 2 7 3 1 5 9 3
vardas189 pavarde189 4 6 3 5 8 5 8 6 7 6 8 7 10 8 1 4
vardas190 pavarde190 3 4 9 1 6 3 6 2 6 2 2 6 9 10 4 4
vardas191 pavarde191 7 8 9 7 3 6 2 1 1 1 9 3 9 9 8 1
vardas192 pavarde192 2 6 1 9 1 8 2 6 2 4 4 10 5 9 3 4
vardas198 pavarde198 5 10 7 7 6 10 7 3 9 9 8 6 8 1 3 3
vardas200 pavarde200 4 5 3 1 6 10 5 5 10 2 10 10 4 5 2 3
vardas201 pavarde201 6 8 3 7 1 2 5 2 6 4 6 8 8 4 4 3
vardas204 pavarde204 8 8 2 7 6 6 5 7 9 2 1 6 2 9 10 2
vardas207 pavarde207 8 6 7 6 10 6 9 4 4 2 10 10 7 2 8 2
vardas209 pavarde209 10 10 7 1 7 5 4 1 6 5 2 5 6 9 6 2
vardas21 pavarde21 8 1 5 9 1 5 3 10 7 2 1 5 3 3 3 1
vardas210 pavarde210 10 10 7 8 10 1 6 10 8 7 7 9 2 9 10 3
vardas214 pavarde214 1 10 7 9 3 7 5 3 4 1 6 1 8 3 9 1
vardas215 pavarde215 3 4 6 5 4 1 8 2 9 9 8 5 3 3 2 3
vardas218 pavarde218 5 3 1 1 1 1 9 2 8 2 10 10 1 10 4 5
vardas219 pavarde219 8 4 2 8 9 3 6 4 2 3 2 3 10 3 7 5
vardas220 pavarde220 7 10 7 10 10 5 1 10 6 2 1 8 3 4 4 3
vardas223 pavarde223 9 8 6 3 7 8 5 8 2 2 9 1 7 7 7 1
vardas224 pavarde224 10 1 6 9 8 1 5 7 7 1 1 7 3 7 6 3
vardas228 pavarde228 3 2 9 2 4 1 8 8 3 2 5 2 2 4 7 4
vardas229 pavarde229 9 7 7 4 6 3 4 8 3 7 6 7 9 1 3 3
vardas232 pavarde232 9 10 10 4 5 8 1 2 2 1 2 9 8 6 4 1
vardas234 pavarde234 3 10 1 8 7 1 1 8 4 3 8 1 8 2 4 4
vardas237 pavarde237 1 8 7 7 9 2 7 9 3 6 4 8 4 6 6 2
vardas240 pavarde240 7 6 2 5 10 6 3 8 2 8 1 1 7 2 1 3
vardas241 pavarde241 6 9 7 4 3 1 4 2 10 3 7 7 8 5 2 4
vardas242 pavarde242 2 5 10 2 2 2 1 3 2 3 6 8 4 6 1 2
vardas244 pavarde244 8 8 1 10 9 1 4 2 5 9 10 1 6 2 4 1
vardas247 pavarde247 5 10 1 5 2 8 10 1 6 6 7 7 2 1 5 2
vardas250 pavarde250 3 3 1 8 2 6 7 4 3 2 1 9 9 6 7 5
vardas255 pavarde255 1 5 1 4 8 8 9 8 8 5 4 2 4 1 8 2
vardas26 pavarde26 8 7 9 10 1 7 9 8 10 1 4 4 4 8 4 3
vardas261 pavarde261 7 7 5 3 6 6 2 7 1 1 10 8 4 1 7 3
vardas267 pavarde267 10 10 10 8 10 7 4 1 7 7 9 4 4 6 8 3
vardas268 pavarde268 1 8 4 9 8 3 2 4 4 10 6 4 3 5 9 4
vardas269 pavarde269 6 10 3 7 8 6 7 4 2 8 10 6 3 9 10 3
vardas276 pavarde276 2 8 8 10 5 1 9 8 6 5 1 10 3 9 1 1
vardas280 pavarde280 4 6 1 5 5 10 4 8 8 2 6 7 10 4 9 1
vardas286 pavarde286 1 3 4 5 1 7 3 4 3 2 8 2 5 10 10 1
vardas297 pavarde297 10 8 7 8 4 10 7 9 6 4 3 8 7 6 9 2
vardas298 pavarde298 4 6 4 9 10 7 10 3 3 5 3 6 2 10 3 3
vardas30 pavarde30 8 1 9 2 10 10 8 9 3 6 4 5 10 1 3 1
vardas300 pavarde300 9 6 7 10 3 6 2 7 1 5 4 2 6 6 4 4
vardas302 pavarde302 4 3 5 8 9 6 4 1 10 7 4 5 2 9 10 1
vardas303 pavarde303 5 5 10 10 5 5 9 2 7 6 1 2 6 9 7 1
vardas304 pavarde304 2 1 8 2 8 1 4 10 9 7 6 2 5 6 2 1
vardas309 pavarde309 10 7 1 9 6 1 6 5 7 6 1 8 8 5 6 1
vardas312 pavarde312 8 5 4 2 7 8 6 9 4 9 2 2 7 5 10 3
vardas314 pavarde314 1 7 4 10 7 9 8 10 7 9 1 5 3 1 9 2
vardas316 pavarde316 2 6 9 8 4 6 9 2 7 2 6 1 4 4 3 2
vardas320 pavarde320 6 2 8 8 1 3 7 9 3 6 2 6 1 8 1 2
vardas328 pavarde328 6 1 6 3 5 10 5 6 7 4 5 9 9 7 6 2
vardas329 pavarde329 8 2 3 9 5 2 6 6 1 6 1 3 4 9 4 2
vardas330 pavarde330 2 9 4 8 1 10 4 7 3 8 5 2 7 2 5 4
vardas333 pavarde333 9 7 9 9 8 5 10 6 3 4 7 1 4 2 1 1
vardas336 pavarde336 6 10 5 9 5 10 3 1 1 7 10 2 6 7 10 2
vardas337 pavarde337 3 1 8 4 1 8 8 5 9 2 4 1 8 3 6 3
