Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
vardas0 pavarde0 4 7 8 6 4 6 7 3 10 2 3 8 1 10 4 7
vardas1 pavarde1 1 7 3 7 2 9 8 10 3 1 3 4 8 6 10 3
vardas2 pavarde2 3 9 10 8 4 7 2 3 10 4 2 10 5 8 9 5
vardas3 pavarde3 6 1 4 7 2 1 7 4 3 1 7 2 6 6 5 8
vardas4 pavarde4 7 6 7 10 4 8 5 6 3 6 5 8 5 5 4 1
vardas5 pavarde5 8 9 7 9 9 5 4 2 5 10 3 1 7 9 10 3
vardas6 pavarde6 7 7 5 10 6 1 5 9 8 2 8 3 8 3 3 7
vardas7 pavarde7 2 1 7 2 6 10 5 10 1 10 2 8 8 2 2 6
vardas8 pavarde8 10 8 8 7 8 4 7 6 7 4 10 5 9 2 3 10
vardas9 pavarde9 4 10 1 9 9 6 1 10 7 4 9 6 7 2 2 6
vardas10 pavarde10 10 9 5 9 2 1 4 1 5 5 5 5 8 7 4 2
vardas11 pavarde11 8 6 10 7 3 2 8 9 6 8 5 2 9 6 10 8
vardas12 pavarde12 6 4 9 9 4 2 9 10 7 5 4 4 4 9 7 1
vardas13 pavarde13 5 9 9 9 10 8 8 7 5 4 1 4 1 10 3 6
vardas14 pavarde14 5 1 6 10 5 7 10 3 3 5 8 8 6 5 9 2
vardas15 pavarde15 3 9 10 4 7 9 1 3 2 1 6 2 2 1 9 6
vardas16 pavarde16 1 7 5 7 3 6 9 7 3 9 5 8 3 5 1 7
vardas17 pavarde17 3 10 10 1 9 2 4 2 2 1 4 5 1 4 10 2
vardas18 pavarde18 10 7 10 4 4 9 1 6 7 7 5 1 1 5 7 3
vardas19 pavarde19 7 8 6 7 10 9 8 3 9 3 10 10 7 1 3 8
vardas20 pavarde20 7 2 4 3 2 6 10 10 2 5 10 2 1 8 6 9
vardas21 pavarde21 8 1 5 9 1 5 3 10 7 2 1 5 3 3 3 1
vardas22 pavarde22 6 6 3 10 1 3 9 4 9 1 5 1 10 2 10 7
vardas23 pavarde23 3 6 5 5 10 10 4 7 1 6 1 3 10 5 4 6
vardas24 pavarde24 2 8 5 4 2 5 7 10 5 3 3 7 5 2 3 9
vardas25 pavarde25 9 10 3 9 9 9 7 9 4 9 4 4 4 9 1 5
vardas26 pavarde26 8 7 9 10 1 7 9 8 10 1 4 4 4 8 4 3
vardas27 pavarde27 7 6 3 7 6 9 8 10 7 1 5 2 1 5 9 8
vardas28 pavarde28 1 9 7 3 5 8 10 4 10 3 9 4 1 2 8 9
vardas29 pavarde29 10 2 6 5 10 3 6 8 5 10 10 5 6 10 4 6
vardas30 pavarde30 8 1 9 2 10 10 8 9 3 6 4 5 10 1 3 1
vardas31 pavarde31 2 10 7 3 2 3 1 8 4 2 2 10 1 6 7 8
vardas32 pavarde32 8 5 1 7 5 8 5 9 6 9 3 7 1 7 7 5
vardas33 pavarde33 7 3 9 10 7 1 8 1 2 1 2 4 8 8 3 7
vardas34 pavarde34 5 6 3 1 3 10 1 10 10 5 6 2 1 4 8 9
vardas35 pavarde35 9 7 1 5 7 8 7 1 10 8 6 10 8 9 6 4
vardas36 pavarde36 4 9 4 8 10 4 8 9 8 5 2 10 1 10 9 9
vardas37 pavarde37 6 9 5 4 8 2 4 9 1 10 8 10 10 4 3 5
vardas38 pavarde38 4 8 2 3 3 1 3 2 8 6 2 8 5 2 8 2
vardas39 pavarde39 2 2 8 1 5 1 9 6 2 7 7 3 2 10 7 5
vardas40 pavarde40 9 1 9 2 1 3 3 10 8 6 7 5 7 4 8 10
vardas41 pavarde41 8 5 10 2 8 1 7 1 9 6 4 10 5 2 6 5
vardas42 pavarde42 2 6 6 5 10 9 4 9 6 3 3 3 8 1 4 5
vardas43 pavarde43 7 4 7 4 4 5 5 4 10 8 3 6 9 10 1 3
vardas44 pavarde44 5 8 7 6 8 2 4 4 4 9 6 2 1 9 8 7
vardas45 pavarde45 4 6 1 9 1 5 2 2 4 6 10 4 5 2 6 1
vardas46 pavarde46 9 4 6 7 6 10 10 1 8 7 4 8 7 2 6 1
vardas47 pavarde47 7 6 1 9 2 3 3 7 10 2 1 5 3 8 5 1
vardas48 pavarde48 4 3 9 1 4 8 1 1 4 5 10 3 8 5 3 6
vardas49 pavarde49 3 5 5 4 9 7 1 9 10 3 3 4 2 9 4 5
vardas50 pavarde50 3 3 5 6 2 8 6 8 2 7 10 9 2 4 4 4
vardas51 pavarde51 8 10 9 7 8 1 5 9 5 9 2 7 9 6 3 2
vardas52 pavarde52 10 10 7 1 7 5 10 10 1 9 10 4 2 5 9 10
vardas53 pavarde53 7 8 8 4 8 2 3 3 2 6 1 10 1 5 1 2
vardas54 pavarde54 4 8 5 2 2 4 1 4 3 2 8 6 7 6 5 3
vardas55 pavarde55 3 2 8 3 5 2 7 6 8 9 6 10 3 8 4 7
vardas56 pavarde56 5 8 10 8 3 3 2 7 4 1 3 2 6 7 6 1
vardas57 pavarde57 1 4 5 7 7 1 3 6 9 10 6 1 7 1 9 4
vardas58 pavarde58 8 9 3 2 1 6 9 6 6 1 8 4 9 3 4 1
vardas59 pavarde59 8 8 8 7 10 2 2 10 1 9 10 9 9 1 4 8
vardas60 pavarde60 1 7 10 3 2 8 8 10 8 7 3 8 2 6 9 9
vardas61 pavarde61 5 6 7 6 7 9 5 9 9 4 9 8 6 3 5 6
vardas62 pavarde62 1 6 8 4 3 8 3 2 4 5 10 5 2 10 6 8
vardas63 pavarde63 5 2 3 3 2 7 3 1 3 3 10 8 5 4 6 7
vardas64 pavarde64 2 5 1 4 2 3 8 8 10 9 2 1 8 7 1 2
vardas65 pavarde65 1 3 6 2 10 8 2 4 2 3 1 7 9 8 5 10
vardas66 pavarde66 3 5 5 6 10 2 3 9 10 7 1 7 5 1 10 5
vardas67 pavarde67 6 5 7 7 4 10 10 6 3 2 4 1 10 10 2 4
vardas68 pavarde68 5 6 9 6 8 4 4 9 10 6 6 4 9 7 1 4
vardas69 pavarde69 4 7 2 9 8 1 6 2 2 1 4 1 1 5 6 5
vardas70 pavarde70 3 5 10 10 10 5 10 9 2 7 4 10 4 4 5 7
vardas71 pavarde71 2 6 7 2 8 3 3 10 3 9 2 3 5 8 9 7
vardas72 pavarde72 4 8 8 3 4 8 3 6 4 8 7 9 2 4 7 5
vardas73 pavarde73 1 4 6 9 6 1 10 10 9 1 3 5 10 1 2 3
vardas74 pavarde74 1 1 7 4 10 1 9 4 9 8 4 2 1 1 6 1
vardas75 pavarde75 4 2 9 1 2 8 10 2 1 4 6 10 5 9 5 7
vardas76 pavarde76 10 3 10 1 4 1 4 4 8 10 5 10 10 2 10 5
vardas77 pavarde77 3 1 7 6 10 6 7 2 2 5 4 8 3 8 4 4
vardas78 pavarde78 10 3 5 5 5 10 10 4 9 4 3 10 6 5 4 10
vardas79 pavarde79 5 10 6 6 8 4 10 1 8 3 8 3 10 1 6 1
vardas80 pavarde80 5 2 8 10 4 7 3 2 3 6 4 10 2 9 9 8
vardas81 pavarde81 1 6 3 8 10 2 10 7 4 7 9 5 7 7 8 3
vardas82 pavarde82 8 5 2 1 1 7 5 5 4 8 4 5 8 3 2 8
vardas83 pavarde83 10 6 7 9 10 6 6 3 2 6 10 10 2 7 3 2
vardas84 pavarde84 1 6 4 3 2 10 8 7 9 3 1 7 5 4 4 7
vardas85 pavarde85 10 1 5 9 6 2 3 10 8 4 9 1 10 3 4 2
vardas86 pavarde86 9 8 5 2 7 4 9 6 6 1 2 3 7 5 9 6
vardas87 pavarde87 7 3 6 3 7 10 2 4 4 2 6 3 7 10 5 5
vardas88 pavarde88 7 1 8 5 4 8 10 1 1 3 3 7 10 1 4 6
vardas89 pavarde89 6 9 8 2 8 1 7 1 5 2 4 1 3 10 7 1
vardas90 pavarde90 10 4 6 5 4 7 5 4 2 10 2 1 10 5 6 7
vardas91 pavarde91 3 6 10 2 8 8 5 2 2 10 2 4 9 8 5 10
vardas92 pavarde92 4 2 4 9 8 10 4 9 9 5 1 1 9 7 9 3
vardas93 pavarde93 4 9 6 1 6 10 3 7 9 6 3 9 4 7 8 9
vardas94 pavarde94 8 3 7 7 3 10 8 1 4 8 3 4 6 2 8 9
vardas95 pavarde95 10 5 2 7 5 4 6 5 9 8 4 4 6 1 2 5
vardas96 pavarde96 6 8 1 8 9 10 10 4 10 5 7 5 6 6 6 7
vardas97 pavarde97 1 7 3 7 10 10 3 10 7 6 6 4 9 7 8 4
vardas98 pavarde98 7 1 3 7 10 4 1 9 8 7 6 3 5 1 1 7
vardas99 pavarde99 9 6 5 10 5 7 9 4 3 4 7 3 3 5 8 1
vardas100 pavarde100 5 10 7 6 5 7 5 3 6 2 7 2 4 8 8 2
vardas101 pavarde101 3 2 1 9 10 1 2 4 5 9 6 9 3 3 1 7
vardas102 pavarde102 4 7 2 1 6 8 5 3 1 1 4 4 10 1 5 4
vardas103 pavarde103 4 5 3 5 6 4 9 2 2 4 2 6 9 2 4 4
vardas104 pavarde104 10 8 6 5 5 10 7 8 3 2 1 2 4 8 8 7
vardas105 pavarde105 4 10 2 1 5 2 2 9 7 5 4 5 8 8 1 8
vardas106 pavarde106 5 6 4 1 8 3 10 10 4 1 3 8 10 10 6 3
vardas107 pavarde107 1 9 4 6 10 7 6 7 4 1 3 1 8 5 8 4
vardas108 pavarde108 1 2 7 8 6 8 9 9 10 1 8 9 1 4 2 1
vardas109 pavarde109 4 7 8 4 3 3 2 6 4 4 9 3 9 6 9 1
vardas110 pavarde110 9 7 10 4 4 8 5 4 8 2 4 10 7 5 3 1
vardas111 pavarde111 3 10 6 8 5 7 5 10 2 3 4 2 9 2 4 9
vardas112 pavarde112 10 3 5 6 2 1 1 2 4 4 1 1 1 3 3 3
vardas113 pavarde113 5 8 10 9 6 5 8 9 7 1 1 7 5 4 8 6
vardas114 pavarde114 9 2 1 10 4 1 3 7 5 4 9 7 8 1 9 2
vardas115 pavarde115 10 9 2 7 5 9 6 1 2 6 10 8 1 7 3 9
vardas116 pavarde116 10 6 1 3 8 3 9 2 8 8 10 8 10 9 9 10
vardas117 pavarde117 9 1 6 3 1 3 5 4 8 4 1 1 2 6 9 1
vardas118 pavarde118 1 1 5 8 6 4 2 5 3 1 2 4 1 1 5 9
vardas119 pavarde119 3 3 1 3 5 6 9 5 1 9 5 3 6 5 3 8
vardas120 pavarde120 6 8 6 3 3 9 7 7 1 1 10 2 3 7 10 5
vardas121 pavarde121 9 3 9 3 8 9 7 8 8 1 10 5 6 5 3 3
vardas122 pavarde122 4 10 7 6 8 5 4 10 5 5 1 7 1 3 3 9
vardas123 pavarde123 5 4 2 2 2 10 1 1 1 3 6 8 7 10 2 10
vardas124 pavarde124 9 8 7 6 2 2 5 9 6 8 7 7 10 2 5 4
vardas125 pavarde125 7 8 7 10 8 7 1 10 1 8 7 7 9 8 8 7
vardas126 pavarde126 7 6 4 8 7 10 8 3 7 5 1 8 6 5 1 2
vardas127 pavarde127 3 9 1 2 6 3 1 8 2 7 5 10 6 4 6 2
vardas128 pavarde128 2 1 1 8 1 9 2 7 5 2 5 10 9 7 3 3
vardas129 pavarde129 6 3 4 3 8 4 10 1 2 6 1 7 10 8 10 3
vardas130 pavarde130 9 10 10 9 10 4 7 4 7 1 5 5 10 7 7 5
vardas131 pavarde131 2 10 9 1 5 10 1 6 6 1 2 7 1 3 9 9
vardas132 pavarde132 5 10 9 4 5 5 10 2 8 6 8 7 3 5 3 6
vardas133 pavarde133 6 1 6 3 10 8 8 7 9 2 3 1 4 3 9 8
vardas134 pavarde134 5 7 4 9 1 5 10 8 10 8 6 2 4 8 9 1
vardas135 pavarde135 10 6 3 2 4 3 8 4 4 3 4 9 7 2 7 1
vardas136 pavarde136 10 2 10 2 6 1 10 5 10 7 9 3 5 7 6 4
vardas137 pavarde137 5 8 5 8 2 5 1 5 9 4 4 5 7 2 6 6
vardas138 pavarde138 5 7 7 10 7 8 6 7 5 4 1 1 3 6 4 9
vardas139 pavarde139 6 1 6 7 7 8 4 5 1 9 1 9 2 6 4 6
vardas140 pavarde140 2 2 5 1 2 2 9 6 8 9 6 2 7 1 10 2
vardas141 pavarde141 3 5 10 1 2 5 5 4 3 6 2 4 3 7 1 7
vardas142 pavarde142 10 7 9 1 9 7 8 6 5 5 7 1 6 6 4 10
vardas143 pavarde143 2 6 1 5 10 7 8 5 4 1 10 7 7 1 5 6
vardas144 pavarde144 9 3 9 7 9 6 4 5 1 2 8 8 9 1 9 10
vardas145 pavarde145 8 9 4 10 8 3 6 1 3 5 9 1 7 3 7 6
vardas146 pavarde146 7 7 4 5 2 8 2 4 1 9 3 10 1 2 1 9
vardas147 pavarde147 2 7 8 9 9 3 2 4 9 10 4 6 5 2 3 3
vardas148 pavarde148 8 8 10 2 5 1 5 8 9 8 7 9 1 9 7 2
vardas149 pavarde149 5 6 3 6 10 4 9 9 5 4 6 1 6 10 4 5
vardas150 pavarde150 7 3 6 4 3 1 1 1 10 9 1 10 7 8 3 2
vardas151 pavarde151 5 5 9 5 10 9 5 5 2 10 7 9 1 10 4 7
vardas152 pavarde152 4 9 10 6 1 2 8 2 10 9 3 7 8 6 10 4
vardas153 pavarde153 10 10 8 10 8 4 6 1 5 2 10 5 2 5 4 7
vardas154 pavarde154 5 3 3 8 7 2 9 6 2 2 4 1 7 5 5 8
vardas155 pavarde155 6 4 9 3 8 4 6 4 8 5 9 1 1 2 7 5
vardas156 pavarde156 6 9 4 2 3 3 10 6 6 5 7 4 2 3 1 7
vardas157 pavarde157 6 2 10 5 5 7 9 2 1 9 2 3 10 9 9 7
vardas158 pavarde158 9 3 1 3 5 10 9 2 6 7 5 7 9 7 4 6
vardas159 pavarde159 8 5 3 5 1 3 8 3 1 2 7 2 10 5 10 10
vardas160 pavarde160 7 10 5 3 1 3 4 7 9 10 3 9 7 8 4 6
vardas161 pavarde161 4 6 10 6 10 8 10 10 1 6 3 2 1 3 1 7
vardas162 pavarde162 4 7 10 5 9 5 1 9 5 5 9 3 5 3 8 8
vardas163 pavarde163 10 10 4 10 9 5 1 9 1 6 10 1 10 2 9 3
vardas164 pavarde164 9 8 7 9 5 9 10 9 4 8 1 8 2 10 7 4
vardas165 pavarde165 1 2 5 9 7 7 7 7 2 8 9 3 10 7 6 10
vardas166 pavarde166 5 4 8 9 3 9 9 8 7 1 5 10 2 3 3 3
vardas167 pavarde167 5 7 1 3 4 10 9 7 9 7 10 8 3 7 9 9
vardas168 pavarde168 10 9 9 2 7 9 1 5 9 5 5 3 10 7 5 6
vardas169 pavarde169 6 5 8 1 6 8 7 5 4 6 4 8 4 3 9 4
vardas170 pavarde170 1 9 7 7 10 8 2 10 4 8 2 3 4 6 8 1
vardas171 pavarde171 3 7 1 8 4 8 2 9 5 8 7 9 10 7 4 10
vardas172 pavarde172 7 10 8 6 7 1 6 3 8 7 7 4 3 5 4 7
vardas173 pavarde173 1 5 4 7 4 8 5 10 5 3 10 4 9 3 5 6
vardas174 pavarde174 5 4 3 3 5 8 5 2 7 2 7 9 8 1 5 10
vardas175 pavarde175 7 10 6 2 7 1 3 3 3 3 8 4 7 2 1 1
vardas176 pavarde176 8 3 4 2 1 8 5 9 1 2 9 8 4 5 8 2
vardas177 pavarde177 4 5 5 3 5 7 5 10 9 5 3 6 8 3 8 5
vardas178 pavarde178 5 1 6 7 1 1 5 1 4 3 1 9 7 10 10 3
vardas179 pavarde179 4 6 5 9 2 1 8 3 5 10 10 3 4 7 7 8
vardas180 pavarde180 8 5 7 10 7 1 10 10 6 2 8 4 1 9 6 5
vardas181 pavarde181 4 10 5 7 3 4 9 7 3 8 1 8 7 8 5 4
vardas182 pavarde182 2 3 5 8 6 6 9 1 8 8 4 8 8 10 4 3
vardas183 pavarde183 1 8 9 3 1 8 2 5 7 2 2 3 9 9 8 2
vardas184 pavarde184 1 2 1 8 10 1 8 7 10 4 4 7 5 10 9 5
vardas185 pavarde185 7 10 10 8 9 1 2 5 4 6 10 5 4 9 6 6
vardas186 pavarde186 3 9 4 2 9 3 8 1 6 3 7 2 2 8 9 9
vardas187 pavarde187 7 8 8 5 10 1 1 3 8 2 7 3 1 5 9 3
vardas188 pavarde188 3 4 4 3 8 3 5 6 5 2 7 9 1 5 9 9
vardas189 pavarde189 4 6 3 5 8 5 8 6 7 6 8 7 10 8 1 4
vardas190 pavarde190 3 4 9 1 6 3 6 2 6 2 2 6 9 10 4 4
vardas191 pavarde191 7 8 9 7 3 6 2 1 1 1 9 3 9 9 8 1
vardas192 pavarde192 2 6 1 9 1 8 2 6 2 4 4 10 5 9 3 4
vardas193 pavarde193 7 1 10 1 8 1 3 1 1 1 5 1 9 2 2 10
vardas194 pavarde194 10 4 10 10 2 3 7 5 8 10 4 3 9 8 6 7
vardas195 pavarde195 1 5 7 10 7 9 10 7 9 6 10 9 8 1 8 9
vardas196 pavarde196 6 9 8 9 1 6 3 9 6 8 3 6 8 10 2 8
vardas197 pavarde197 4 10 7 10 10 9 8 8 4 7 6 3 9 5 1 7
vardas198 pavarde198 5 10 7 7 6 10 7 3 9 9 8 6 8 1 3 3
vardas199 pavarde199 10 2 4 9 2 4 8 7 2 5 10 3 1 2 9 7
vardas200 pavarde200 4 5 3 1 6 10 5 5 10 2 10 10 4 5 2 3
vardas201 pavarde201 6 8 3 7 1 2 5 2 6 4 6 8 8 4 4 3
vardas202 pavarde202 1 8 5 8 7 9 2 9 10 4 8 3 8 1 7 5
vardas203 pavarde203 8 1 3 10 2 7 4 9 3 9 6 10 3 1 4 5
vardas204 pavarde204 8 8 2 7 6 6 5 7 9 2 1 6 2 9 10 2
vardas205 pavarde205 9 2 1 10 8 4 10 2 3 7 3 7 7 6 1 6
vardas206 pavarde206 5 4 2 10 9 8 8 7 9 8 4 3 6 5 4 6
vardas207 pavarde207 8 6 7 6 10 6 9 4 4 2 10 10 7 2 8 2
vardas208 pavarde208 5 1 3 6 9 1 2 7 10 8 1 6 2 4 3 10
vardas209 pavarde209 10 10 7 1 7 5 4 1 6 5 2 5 6 9 6 2
vardas210 pavarde210 10 10 7 8 10 1 6 10 8 7 7 9 2 9 10 3
vardas211 pavarde211 10 6 5 7 3 8 7 8 2 8 2 9 7 9 1 8
vardas212 pavarde212 9 7 7 10 7 2 9 6 10 7 7 2 8 6 6 7
vardas213 pavarde213 4 1 3 6 10 9 3 4 9 7 2 7 7 2 4 5
vardas214 pavarde214 1 10 7 9 3 7 5 3 4 1 6 1 8 3 9 1
vardas215 pavarde215 3 4 6 5 4 1 8 2 9 9 8 5 3 3 2 3
vardas216 pavarde216 2 8 3 7 4 7 1 9 9 8 1 9 10 10 9 5
vardas217 pavarde217 3 7 9 8 9 6 10 9 4 7 5 8 2 6 10 5
vardas218 pavarde218 5 3 1 1 1 1 9 2 8 2 10 10 1 10 4 5
vardas219 pavarde219 8 4 2 8 9 3 6 4 2 3 2 3 10 3 7 5
vardas220 pavarde220 7 10 7 10 10 5 1 10 6 2 1 8 3 4 4 3
vardas221 pavarde221 9 8 2 7 2 10 2 3 2 5 7 1 8 4 7 6
vardas222 pavarde222 3 3 5 4 10 7 5 7 8 5 7 3 10 10 7 8
vardas223 pavarde223 9 8 6 3 7 8 5 8 2 2 9 1 7 7 7 1
vardas224 pavarde224 10 1 6 9 8 1 5 7 7 1 1 7 3 7 6 3
vardas225 pavarde225 5 2 5 3 1 2 1 4 5 1 5 1 7 3 3 8
vardas226 pavarde226 3 8 6 2 10 1 1 7 3 1 3 5 10 10 10 6
vardas227 pavarde227 1 4 8 1 5 10 5 9 10 1 1 9 3 3 6 7
